COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;4109;Sarrebourg;CHAR;4
CODGEO;Code géographique;Code géographique;4110;Sarreguemines;CHAR;4
CODGEO;Code géographique;Code géographique;4111;Thionville;CHAR;4
CODGEO;Code géographique;Code géographique;4112;Épinal;CHAR;4
CODGEO;Code géographique;Code géographique;4113;Remiremont;CHAR;4
CODGEO;Code géographique;Code géographique;4114;Saint-Dié-des-Vosges;CHAR;4
CODGEO;Code géographique;Code géographique;4115;Neufchâteau;CHAR;4
CODGEO;Code géographique;Code géographique;4201;Haguenau;CHAR;4
CODGEO;Code géographique;Code géographique;4202;Molsheim - Obernai;CHAR;4
CODGEO;Code géographique;Code géographique;4203;Saverne;CHAR;4
CODGEO;Code géographique;Code géographique;4204;Sélestat;CHAR;4
CODGEO;Code géographique;Code géographique;4205;Strasbourg;CHAR;4
CODGEO;Code géographique;Code géographique;4206;Wissembourg;CHAR;4
CODGEO;Code géographique;Code géographique;4207;Colmar;CHAR;4
CODGEO;Code géographique;Code géographique;4208;Mulhouse;CHAR;4
CODGEO;Code géographique;Code géographique;4209;Saint-Louis;CHAR;4
CODGEO;Code géographique;Code géographique;4301;Besançon;CHAR;4
CODGEO;Code géographique;Code géographique;4302;Belfort - Montbéliard - Héricourt;CHAR;4
CODGEO;Code géographique;Code géographique;4303;Morteau;CHAR;4
CODGEO;Code géographique;Code géographique;4304;Pontarlier;CHAR;4
CODGEO;Code géographique;Code géographique;4305;Dole;CHAR;4
CODGEO;Code géographique;Code géographique;4306;Lons-le-Saunier;CHAR;4
CODGEO;Code géographique;Code géographique;4307;Saint-Claude;CHAR;4
CODGEO;Code géographique;Code géographique;4308;Gray;CHAR;4
CODGEO;Code géographique;Code géographique;4309;Vesoul;CHAR;4
CODGEO;Code géographique;Code géographique;5201;Ancenis-Saint-Géréon;CHAR;4
CODGEO;Code géographique;Code géographique;5202;Châteaubriant;CHAR;4
CODGEO;Code géographique;Code géographique;5203;Nantes;CHAR;4
CODGEO;Code géographique;Code géographique;5204;Saint-Nazaire;CHAR;4
CODGEO;Code géographique;Code géographique;5205;Angers;CHAR;4
CODGEO;Code géographique;Code géographique;5206;Cholet;CHAR;4
CODGEO;Code géographique;Code géographique;5207;Saumur;CHAR;4
CODGEO;Code géographique;Code géographique;5208;Segré;CHAR;4
CODGEO;Code géographique;Code géographique;5209;Laval;CHAR;4
CODGEO;Code géographique;Code géographique;5210;Mayenne;CHAR;4
CODGEO;Code géographique;Code géographique;5211;La Ferté-Bernard;CHAR;4
CODGEO;Code géographique;Code géographique;5212;La Flèche;CHAR;4
CODGEO;Code géographique;Code géographique;5213;Le Mans;CHAR;4
CODGEO;Code géographique;Code géographique;5214;Sablé-sur-Sarthe;CHAR;4
CODGEO;Code géographique;Code géographique;5215;Challans;CHAR;4
CODGEO;Code géographique;Code géographique;5216;Fontenay-le-Comte;CHAR;4
CODGEO;Code géographique;Code géographique;5217;Les Herbiers;CHAR;4
CODGEO;Code géographique;Code géographique;5218;La Roche-sur-Yon;CHAR;4
CODGEO;Code géographique;Code géographique;5219;Les Sables-d'Olonne;CHAR;4
CODGEO;Code géographique;Code géographique;5301;Dinan;CHAR;4
CODGEO;Code géographique;Code géographique;5302;Guingamp;CHAR;4
CODGEO;Code géographique;Code géographique;5303;Lannion;CHAR;4
