CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
01269;1403;3127;17170;42;28;;37;36;;;;;39;68.9;61.9;3.7;3.3;27.3;9.3;8.4;3.4;2.7;2.3;-13.9;9540;30960;3.2
01272;632;1457;21220;;;;;;;;;;;;;;;;;;;;;;;;
01273;685;1661;21160;;;;;;;;;;;;;;;;;;;;;;;;
01274;235;606;19410;;;;;;;;;;;;;;;;;;;;;;;;
01275;994;2561;28320;72;;;;;;;;;;79.9;69.9;2.3;7.7;22;19.6;1.8;1.1;0.4;0.3;-23.3;15780;54720;3.5
01276;553;1603;24790;;;;;;;;;;;;;;;;;;;;;;;;
01277;62;130;22040;;;;;;;;;;;;;;;;;;;;;;;;
01279;;;;;;;;;;;;;;;;;;;;;;;;;;;
01280;74;146;21140;;;;;;;;;;;;;;;;;;;;;;;;
01281;1429;3567;34000;46;16;;;19;;;;11;25;89.1;83.8;3.2;2.1;18.8;7.7;1.4;0.5;0.5;0.4;-17;9130;78890;8.6
01282;105;261;24310;;;;;;;;;;;;;;;;;;;;;;;;
01283;9244;22371;17270;41;24;28;31;28;23;19;10;8;35;68.4;61.2;4.5;2.7;28.3;8.6;9;3.7;2.9;2.4;-14.3;9860;30940;3.1
01284;264;685;20900;;;;;;;;;;;;;;;;;;;;;;;;
01285;450;1248;26930;;;;;;;;;;;;;;;;;;;;;;;;
01286;397;1002;24220;;;;;;;;;;;;;;;;;;;;;;;;
01288;925;2393;36090;47;13;;;;;;;11;;92.9;88.3;3.1;1.5;15.5;6;1;0.5;0.3;0.2;-15.4;10050;68290;6.8
01289;2668;6022;22740;58;8;;;;;;;;17;65.4;59.1;2;4.3;37.2;9.8;3.8;1.7;1.2;0.9;-16.2;13460;38500;2.9
01290;518;1242;26280;;;;;;;;;;;;;;;;;;;;;;;;
01291;334;841;21910;;;;;;;;;;;;;;;;;;;;;;;;
01293;64;159;25440;;;;;;;;;;;;;;;;;;;;;;;;
01294;355;877;21490;;;;;;;;;;;;;;;;;;;;;;;;
01295;219;653;22040;;;;;;;;;;;;;;;;;;;;;;;;
01296;154;378;21030;;;;;;;;;;;;;;;;;;;;;;;;
01297;307;865;25620;;;;;;;;;;;;;;;;;;;;;;;;
01298;57;141;25800;;;;;;;;;;;;;;;;;;;;;;;;
01299;185;489;22840;;;;;;;;;;;;;;;;;;;;;;;;
01301;1074;2566;23090;62;;;;;;;;;;72.5;65;2.4;5.1;30.9;9.5;3.2;2;0.6;0.6;-16.1;14740;37760;2.6
01302;73;176;26010;;;;;;;;;;;;;;;;;;;;;;;;
01303;737;1678;20380;;;;;;;;;;;;;;;;;;;;;;;;
01304;1157;2798;21140;50;12;;;;;;;;27;76.3;67.7;3.6;5;26.2;6.4;5.5;2.7;1.6;1.2;-14.4;12200;32540;2.7
01305;1039;1957;18910;45;13;;;;;;;;;64.1;56.4;3.4;4.3;33.2;10.9;6.3;1.9;2.5;1.9;-14.5;11950;33020;2.8
01306;680;1402;19750;;;;;;;;;;;;;;;;;;;;;;;;
01307;373;864;21280;;;;;;;;;;;;;;;;;;;;;;;;
01308;281;661;32870;;;;;;;;;;;;;;;;;;;;;;;;
01309;;;;;;;;;;;;;;;;;;;;;;;;;;;
01310;51;128;22550;;;;;;;;;;;;;;;;;;;;;;;;
01311;;;;;;;;;;;;;;;;;;;;;;;;;;;
01313;2787;7026;38720;49;14;;;16;17;;;11;19;87;81.7;2.9;2.4;20.3;8.9;1;0.4;0.3;0.3;-17.2;9710;88820;9.1
01314;696;1776;22380;;;;;;;;;;;;;;;;;;;;;;;;
01317;136;346;22530;;;;;;;;;;;;;;;;;;;;;;;;
01318;240;724;25890;;;;;;;;;;;;;;;;;;;;;;;;
01319;180;487;23750;;;;;;;;;;;;;;;;;;;;;;;;
01320;1518;3769;22850;61;7;;;;;;;;;73.2;67.5;2.3;3.4;28.3;10.8;3.6;2.2;0.7;0.7;-15.9;13940;36420;2.6
01321;334;904;24880;;;;;;;;;;;;;;;;;;;;;;;;
01322;1773;4895;26320;70;5;;;;;;;;;81.5;72.3;3.2;6;22.8;11.9;2.7;1.7;0.5;0.5;-18.9;15720;44880;2.9
01323;394;971;21020;;;;;;;;;;;;;;;;;;;;;;;;
01325;395;1048;24730;;;;;;;;;;;;;;;;;;;;;;;;
01328;181;464;22600;;;;;;;;;;;;;;;;;;;;;;;;
01329;74;145;18530;;;;;;;;;;;;;;;;;;;;;;;;
01330;79;172;20560;;;;;;;;;;;;;;;;;;;;;;;;
