CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
531;29775;72309;19750;41.4;10.8;13.1;11.6;12.7;11.1;6.8;10;6.6;23.9;70.1;60.7;2.6;6.8;28.8;8.8;5.6;3.1;1.4;1.1;-13.3;12410;30530;2.5
532;47585;110646;21150;50.7;10.8;19.3;13.4;12.3;10;5.7;6.2;5;25.5;72;65.1;2.6;4.3;29.6;8.7;5.4;2.6;1.5;1.3;-15.7;12380;34690;2.8
533;50677;116896;19670;41.7;12.3;16;13.2;13.8;13.2;8.6;10.5;8.1;24.5;66.3;57.5;2.5;6.3;32.1;9.5;5.2;2.7;1.4;1.1;-13.1;11930;30250;2.5
541;68527;156264;20510;34.5;16.5;24;19.8;19.2;16.6;10.9;11;9.5;32.9;45.1;38.9;3;3.2;25.4;34.8;4.8;1.5;2;1.3;-10.1;10560;36750;3.5
542;32776;76033;20000;44.2;14.6;24.6;17.8;17.3;14.4;9.2;8;7.7;31.4;67.6;59.5;3.3;4.8;32.6;6.9;6.5;2.6;2.4;1.5;-13.6;11360;31630;2.8
543;176544;381716;21390;52.9;14.5;28.6;17.3;17.3;13.1;8.1;6.3;5;29.5;72.9;64.5;2.8;5.6;30;8.6;6;2;2.3;1.7;-17.5;11140;37560;3.4
544;27435;66759;21120;49.8;11.6;21;13.9;12.9;10.4;7;8.3;5.7;27.4;73.4;66.1;2.8;4.5;28.6;7.5;5.3;2.5;1.7;1.1;-14.8;12250;33960;2.8
551;25842;56578;20630;49.4;12.8;22.2;15.7;15.8;12.5;8;8.8;7;27.9;66;58.5;2.7;4.8;35.4;8;5.3;2;2;1.3;-14.7;11830;33210;2.8
552;18242;41847;19410;42.8;15.8;24.3;19.7;18.9;15.5;9.9;10.6;9.5;32.8;65.7;56.9;3;5.8;33.1;8.4;6.1;2.5;2.2;1.4;-13.3;11040;31350;2.8
553;34965;78492;19640;41.7;16.4;25.3;20.1;18.2;16.5;11.3;11.1;9.6;32.1;63;54.5;2.7;5.8;31.4;12.6;6.2;2.3;2.4;1.5;-13.2;10830;32430;3
561;144976;313980;21100;50;11.5;22.2;13.8;13.5;12.3;6.9;7.2;5.6;25.4;63.8;54.6;3.5;5.7;37;9.7;5.1;1.9;1.9;1.3;-15.6;12140;35410;2.9
562;67022;151487;19870;43.3;12.4;18.3;13.2;13.6;13.1;8.2;12;8.4;27.2;66.1;56.1;2.9;7.1;33;8.5;5.5;2.5;1.9;1.1;-13.1;11900;31040;2.6
563;126217;282656;21420;51.7;10.2;17.5;12.3;12;10.9;5.7;7.4;5.7;22.2;64.4;55.2;2.9;6.3;36.7;10.1;4.6;2;1.5;1.1;-15.8;12600;36220;2.9
573;100180;233075;19620;44.1;17.5;28.7;24;22.7;14.7;11.2;9.5;8;33.2;66.7;59.2;3.8;3.7;32.5;8.1;6.5;2.2;2.7;1.6;-13.8;10660;33480;3.1
575;37728;88313;20570;47;11.8;20.3;13.7;13.6;10.6;8.4;9.5;7.1;25.8;70.3;62.6;2.8;4.9;30.6;7.9;5.1;2.2;1.8;1.1;-13.9;12080;32660;2.7
