CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
0404;115691;315870;14440;24.8;40.8;54;42.8;43;38.7;32.2;42.7;33.1;50.4;70.7;57.1;5.8;7.8;16.7;7;17.4;4.5;9.4;3.5;-11.8;7870;33100;4.2
1101;2577135;5814050;24450;65.9;16.1;18.4;15.3;18;17.9;14.4;9.2;5.6;23.5;88.1;78.6;3.1;6.4;20;13;3.8;1.4;1.4;1;-24.9;10460;55070;5.3
1102;132516;342502;23470;65.1;12.4;17.2;12.8;13.4;12.4;9.7;7.7;5;23.5;88.6;81.9;3.1;3.6;18.6;6.8;4.8;2.3;1.4;1.1;-18.8;11760;40720;3.5
1103;26805;67544;21850;55.5;11.1;16.2;13.3;13.1;10.5;7.1;6.8;6.2;23.5;76.2;68.6;3.2;4.4;26;8.1;5.2;2.6;1.6;1;-15.5;12250;34990;2.9
1104;59362;152043;21660;57.4;13.6;19.5;15.6;14.9;12.5;10.3;7.8;5;27.6;81;74.1;3.3;3.6;22;7;6.1;2.9;1.8;1.4;-16.1;11390;35700;3.1
1105;154737;392923;22820;61.5;11.6;18.4;14.1;13.5;10.6;7.3;5.5;5;25.2;80;73.3;2.9;3.8;24.7;8.2;5.2;2.5;1.5;1.2;-18.1;12080;39040;3.2
1106;17323;44638;19230;48;20.4;29.1;28.5;24.2;18.3;11;8.9;7;38.8;70.5;64.4;3.4;2.7;28.5;6.1;8.9;3.7;3.1;2.1;-14;9930;32290;3.3
1107;19882;48333;21100;54;13.4;23.4;19;16.3;11;8.5;6.3;6.3;28.8;72.1;64.6;3.1;4.4;29.6;8.3;5.7;2.5;1.9;1.3;-15.7;11560;34950;3
1108;17547;42903;20450;51.5;14.1;21.4;17.8;17;14.5;8.3;6.5;7.1;28.2;71.5;63.2;3.1;5.2;28.8;8.9;6.3;2.8;2.1;1.4;-15.5;11340;33920;3
1109;15055;38518;29210;75.6;5;;5;5;5;5;;5;12.6;83.5;75.8;2.6;5.1;25.6;11.7;1.9;1.2;0.4;0.3;-22.7;16460;51820;3.1
1110;65297;174422;21190;56.6;15.5;19.4;18.8;17.9;14.5;11.5;8.4;5.4;30.6;78.5;72.1;3.6;2.8;25.2;6.3;6.4;3.1;1.8;1.5;-16.4;10930;35850;3.3
1111;97343;254518;23410;64;12.5;17.3;15.1;14.4;11.3;9.2;6.6;5;24.2;84.9;78.3;3.2;3.4;23;7.4;4.7;2.3;1.3;1.1;-20;11800;43450;3.7
