CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
200072700;9659;22446;19780;43.6;12.2;;14.4;14.8;13.1;7.7;8.7;8.1;26.5;66.7;57.9;3;5.8;32.9;8.1;5.2;2.7;1.5;1;-12.9;12100;30280;2.5
200072718;7421;17912;20220;44.7;11.8;;12.1;12.9;13.1;7.8;;7.3;27.3;70.5;61.7;2.8;6;29.2;8.2;5.3;2.8;1.4;1.1;-13.2;12090;31530;2.6
200072726;18381;43617;19130;38.3;14;22.4;15.8;15.6;13.5;9;12;9.2;29.5;68.1;58.1;2.9;7.1;29.1;8.7;6.9;3.2;2.3;1.4;-12.8;11460;29530;2.6
200072734;14640;38606;22620;53.9;5.4;;5;5.7;5.7;5;;5;13.1;81;74.6;2.7;3.7;22.5;6.8;4.4;2.7;1;0.7;-14.7;14520;34640;2.4
200072825;5002;12340;22510;55.2;7.4;;;7.9;;;;5.3;18.9;75.1;66.6;2.3;6.2;28.4;8.6;3.6;2.2;0.8;0.6;-15.7;13640;35470;2.6
200072874;10463;28123;24850;67.9;6.1;;5.7;6.6;7.1;;;5;16.5;85.1;78.4;2.7;4;21.6;7.8;3.1;2;0.7;0.4;-17.6;14780;39030;2.6
200072882;17368;44341;20750;46.5;7.7;9.5;6.4;8.4;8.3;6;10.8;5.1;18.7;77.3;69.6;2.9;4.8;23.6;7.8;5.1;3;1.2;0.9;-13.8;13400;31450;2.3
200072981;14195;33369;20180;44.1;11.6;17.4;13.1;11.6;12.4;7.6;10.7;7.2;25.4;69.4;61.4;3;5;31.7;7.2;5.3;2.5;1.7;1.1;-13.6;12180;32380;2.7
200072999;9786;21118;20450;47.5;13.2;19.5;15.4;15.9;11.7;8.3;12.6;6.5;26.7;68.1;57.9;3.1;7.1;32.3;8.5;5.4;2.1;2;1.3;-14.3;11810;32860;2.8
200073013;12204;31534;26380;73.4;5.3;;5.9;6.5;5.1;;;5;14.5;83.8;77.6;2.5;3.7;25.3;7.5;2.6;1.6;0.6;0.4;-19.2;15190;42130;2.8
200073096;23885;56909;21090;48.6;11.2;15.2;13;13;10.7;7.7;8.6;6.2;24.5;71.6;62.2;3.4;6;27.7;10.7;5;2.4;1.5;1.1;-15;12280;34930;2.8
200073104;4535;9299;18900;44.9;21.7;;23.5;28.6;22.3;17.7;16.9;13.8;32.3;62.3;47.1;3.8;11.4;37.1;12.1;5;1.3;2.3;1.4;-16.5;9570;35240;3.7
200073112;9894;22511;19460;40.6;13.2;18.6;14.3;17.1;14.6;7.8;8.6;8.7;29.5;62.9;55;3.1;4.8;36.7;7.6;5.3;2.6;1.5;1.2;-12.5;11720;29820;2.5
