COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;01344;Saint-Denis-lès-Bourg;CHAR;5
CODGEO;Code géographique;Code géographique;01345;Saint-Denis-en-Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01346;Saint-Didier-d'Aussiat;CHAR;5
CODGEO;Code géographique;Code géographique;01347;Saint-Didier-de-Formans;CHAR;5
CODGEO;Code géographique;Code géographique;01348;Saint-Didier-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01349;Saint-Éloi;CHAR;5
CODGEO;Code géographique;Code géographique;01350;Saint-Étienne-du-Bois;CHAR;5
CODGEO;Code géographique;Code géographique;01351;Saint-Étienne-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01352;Saint-Étienne-sur-Reyssouze;CHAR;5
CODGEO;Code géographique;Code géographique;01353;Sainte-Euphémie;CHAR;5
CODGEO;Code géographique;Code géographique;01354;Saint-Genis-Pouilly;CHAR;5
CODGEO;Code géographique;Code géographique;01355;Saint-Genis-sur-Menthon;CHAR;5
CODGEO;Code géographique;Code géographique;01356;Saint-Georges-sur-Renon;CHAR;5
CODGEO;Code géographique;Code géographique;01357;Saint-Germain-de-Joux;CHAR;5
CODGEO;Code géographique;Code géographique;01358;Saint-Germain-les-Paroisses;CHAR;5
CODGEO;Code géographique;Code géographique;01359;Saint-Germain-sur-Renon;CHAR;5
CODGEO;Code géographique;Code géographique;01360;Saint-Jean-de-Gonville;CHAR;5
CODGEO;Code géographique;Code géographique;01361;Saint-Jean-de-Niost;CHAR;5
CODGEO;Code géographique;Code géographique;01362;Saint-Jean-de-Thurigneux;CHAR;5
CODGEO;Code géographique;Code géographique;01363;Saint-Jean-le-Vieux;CHAR;5
CODGEO;Code géographique;Code géographique;01364;Saint-Jean-sur-Reyssouze;CHAR;5
CODGEO;Code géographique;Code géographique;01365;Saint-Jean-sur-Veyle;CHAR;5
CODGEO;Code géographique;Code géographique;01366;Sainte-Julie;CHAR;5
CODGEO;Code géographique;Code géographique;01367;Saint-Julien-sur-Reyssouze;CHAR;5
CODGEO;Code géographique;Code géographique;01368;Saint-Julien-sur-Veyle;CHAR;5
CODGEO;Code géographique;Code géographique;01369;Saint-Just;CHAR;5
CODGEO;Code géographique;Code géographique;01370;Saint-Laurent-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01371;Saint-Marcel;CHAR;5
CODGEO;Code géographique;Code géographique;01372;Saint-Martin-de-Bavel;CHAR;5
CODGEO;Code géographique;Code géographique;01373;Saint-Martin-du-Frêne;CHAR;5
CODGEO;Code géographique;Code géographique;01374;Saint-Martin-du-Mont;CHAR;5
CODGEO;Code géographique;Code géographique;01375;Saint-Martin-le-Châtel;CHAR;5
CODGEO;Code géographique;Code géographique;01376;Saint-Maurice-de-Beynost;CHAR;5
CODGEO;Code géographique;Code géographique;01378;Saint-Maurice-de-Gourdans;CHAR;5
CODGEO;Code géographique;Code géographique;01379;Saint-Maurice-de-Rémens;CHAR;5
CODGEO;Code géographique;Code géographique;01380;Saint-Nizier-le-Bouchoux;CHAR;5
CODGEO;Code géographique;Code géographique;01381;Saint-Nizier-le-Désert;CHAR;5
CODGEO;Code géographique;Code géographique;01382;Sainte-Olive;CHAR;5
CODGEO;Code géographique;Code géographique;01383;Saint-Paul-de-Varax;CHAR;5
CODGEO;Code géographique;Code géographique;01384;Saint-Rambert-en-Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01385;Saint-Rémy;CHAR;5
CODGEO;Code géographique;Code géographique;01386;Saint-Sorlin-en-Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01387;Saint-Sulpice;CHAR;5
CODGEO;Code géographique;Code géographique;01388;Saint-Trivier-de-Courtes;CHAR;5
CODGEO;Code géographique;Code géographique;01389;Saint-Trivier-sur-Moignans;CHAR;5
CODGEO;Code géographique;Code géographique;01390;Saint-Vulbas;CHAR;5
CODGEO;Code géographique;Code géographique;01391;Salavre;CHAR;5
CODGEO;Code géographique;Code géographique;01392;Samognat;CHAR;5
