COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;160;Lisieux;CHAR;3
CODGEO;Code géographique;Code géographique;161;Chaumont;CHAR;3
CODGEO;Code géographique;Code géographique;162;Cahors;CHAR;3
CODGEO;Code géographique;Code géographique;163;Fougères;CHAR;3
CODGEO;Code géographique;Code géographique;164;Abbeville;CHAR;3
CODGEO;Code géographique;Code géographique;165;Oyonnax;CHAR;3
CODGEO;Code géographique;Code géographique;166;Verdun;CHAR;3
CODGEO;Code géographique;Code géographique;167;Auch;CHAR;3
CODGEO;Code géographique;Code géographique;168;Morlaix;CHAR;3
CODGEO;Code géographique;Code géographique;169;Vendôme;CHAR;3
CODGEO;Code géographique;Code géographique;170;Albertville;CHAR;3
CODGEO;Code géographique;Code géographique;171;Sarrebourg;CHAR;3
CODGEO;Code géographique;Code géographique;172;Le Creusot;CHAR;3
CODGEO;Code géographique;Code géographique;173;Dives-sur-Mer;CHAR;3
CODGEO;Code géographique;Code géographique;174;Saint-Avold (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;175;Épernay;CHAR;3
CODGEO;Code géographique;Code géographique;176;Manosque;CHAR;3
CODGEO;Code géographique;Code géographique;177;Libourne;CHAR;3
CODGEO;Code géographique;Code géographique;178;Vierzon;CHAR;3
CODGEO;Code géographique;Code géographique;179;Beaune;CHAR;3
CODGEO;Code géographique;Code géographique;180;Marmande;CHAR;3
CODGEO;Code géographique;Code géographique;181;Château-Thierry;CHAR;3
CODGEO;Code géographique;Code géographique;182;Bar-le-Duc;CHAR;3
CODGEO;Code géographique;Code géographique;183;Pamiers;CHAR;3
CODGEO;Code géographique;Code géographique;184;Saint-Amand-les-Eaux;CHAR;3
CODGEO;Code géographique;Code géographique;185;Sedan;CHAR;3
CODGEO;Code géographique;Code géographique;186;Vitry-le-François;CHAR;3
CODGEO;Code géographique;Code géographique;187;Vernon;CHAR;3
CODGEO;Code géographique;Code géographique;188;Granville;CHAR;3
CODGEO;Code géographique;Code géographique;189;Eu;CHAR;3
CODGEO;Code géographique;Code géographique;190;Guéret;CHAR;3
CODGEO;Code géographique;Code géographique;191;Tulle;CHAR;3
CODGEO;Code géographique;Code géographique;192;Thann - Cernay;CHAR;3
CODGEO;Code géographique;Code géographique;193;Dinard;CHAR;3
CODGEO;Code géographique;Code géographique;194;Tournon-sur-Rhône;CHAR;3
CODGEO;Code géographique;Code géographique;195;Sablé-sur-Sarthe;CHAR;3
CODGEO;Code géographique;Code géographique;196;Pontarlier;CHAR;3
CODGEO;Code géographique;Code géographique;197;Saint-Gaudens;CHAR;3
CODGEO;Code géographique;Code géographique;198;Guebwiller;CHAR;3
CODGEO;Code géographique;Code géographique;199;Vire Normandie;CHAR;3
CODGEO;Code géographique;Code géographique;200;Beaucaire;CHAR;3
CODGEO;Code géographique;Code géographique;201;Redon;CHAR;3
CODGEO;Code géographique;Code géographique;202;Millau;CHAR;3
CODGEO;Code géographique;Code géographique;203;Romorantin-Lanthenay;CHAR;3
CODGEO;Code géographique;Code géographique;204;Vitré;CHAR;3
CODGEO;Code géographique;Code géographique;205;Fontenay-le-Comte;CHAR;3
CODGEO;Code géographique;Code géographique;206;Mayenne;CHAR;3
CODGEO;Code géographique;Code géographique;207;Fécamp;CHAR;3
CODGEO;Code géographique;Code géographique;208;Pont-Audemer;CHAR;3
CODGEO;Code géographique;Code géographique;209;Saint-Hilaire-de-Riez;CHAR;3
CODGEO;Code géographique;Code géographique;210;Concarneau;CHAR;3
CODGEO;Code géographique;Code géographique;211;Thouars;CHAR;3
