CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
537;3046;6223;19600;43.1;16.8;;25.3;20.9;21.7;;;9.4;28.4;57.1;43.1;4.5;9.5;37.3;13.5;6.4;1.9;2.7;1.8;-14.3;10610;33490;3.2
538;2667;5418;18950;39.5;16.2;;;20;18.6;;;9.4;33.4;55.1;48.1;2.9;4.1;43.1;8.7;6.4;2;2.8;1.6;-13.3;10610;30300;2.9
539;2657;6076;18470;41.2;19.8;;23.4;24.1;20;;;;31.8;67.4;60.4;3.6;3.4;29.2;5.6;10.3;3.2;4.4;2.7;-12.5;10300;29410;2.9
540;2276;4681;21600;53.4;9.6;;;;;;;;17.6;64.5;56.9;2.7;4.9;36;9.7;4.5;1.8;1.6;1.1;-14.7;12800;34980;2.7
541;2809;6012;20040;46.6;13.5;;;17.5;;;;8.4;25.9;59.9;53.6;2.8;3.5;39.5;9.9;5;1.9;1.9;1.2;-14.3;11710;32290;2.8
542;2291;4839;17650;36.1;22.4;;31.7;26.6;25;16.9;;10.8;40.4;55.1;47.4;3.3;4.4;40.8;7.3;9.2;2.5;4.3;2.4;-12.4;9810;29810;3
543;2701;5905;19980;43.4;12.2;;;;;;;6.4;26.3;59.8;51.7;2.7;5.4;38.9;9.8;5.3;1.9;2;1.4;-13.8;12110;32060;2.6
544;2534;4871;18400;36.7;17.9;;;25.3;;;;11.4;32;52.2;45.3;3.1;3.8;44.2;7.9;7.3;1.8;3.6;1.9;-11.6;10660;28920;2.7
545;2447;6003;20500;52.3;13.3;;16.5;16.5;;;;6.2;23.2;75.7;69.3;3.2;3.2;25.6;7.9;5.4;2.7;1.4;1.3;-14.6;11650;33860;2.9
546;3295;7629;20000;43.7;10.2;;;11.9;;;;5.1;24.7;68.8;61;3.3;4.5;30;9.7;5.4;2.6;1.6;1.2;-13.9;12580;31500;2.5
547;2296;4748;20660;47.5;10.7;;;;;;;;23.1;66.4;59.2;2.6;4.6;33.4;9.9;5.1;2;1.8;1.3;-14.8;12510;34620;2.8
548;2307;5153;17350;37.2;24.1;;34.4;26.7;27.5;;;10.8;42.2;54.5;48.1;3.9;2.5;39.5;7.9;10.1;3.2;4.4;2.5;-12;9690;27910;2.9
549;2518;5471;19380;39.3;11.5;;;;;;;5.9;23.6;60.8;53.5;2.2;5.1;36.9;10.6;5.4;2.3;1.7;1.4;-13.7;12270;29980;2.4
550;2037;4697;18510;38.6;21;;26;28;;;;12.9;31.4;65.5;57.4;3.2;4.9;32.5;8.3;7.5;2.7;2.9;1.9;-13.8;10090;32070;3.2
551;2807;5216;20480;48.9;12.8;;;;;;;8.9;20.1;54.1;43.1;3.5;7.5;44.5;12.6;3.9;1.1;1.7;1.1;-15.1;11520;34270;3
